,GCA_918698235.1,GCA_014773485.1,GCA_024169515.1
Cluster_220,,,OCILAMFM_02126
Cluster_221,LBGCNHPF_02551,OEIEKCCN_02243,OCILAMFM_00122
Cluster_222,LBGCNHPF_01377,OEIEKCCN_00666,OCILAMFM_03018
Cluster_223,LBGCNHPF_01751,OEIEKCCN_02418,OCILAMFM_00314
Cluster_224,LBGCNHPF_01392,OEIEKCCN_00651,OCILAMFM_03003
Cluster_225,LBGCNHPF_02251,OEIEKCCN_02810,OCILAMFM_00893
Cluster_226,LBGCNHPF_03296,OEIEKCCN_03002,OCILAMFM_00691
Cluster_227,LBGCNHPF_04187,,
Cluster_228,LBGCNHPF_04062,OEIEKCCN_00238,OCILAMFM_01766
Cluster_229,LBGCNHPF_02608,OEIEKCCN_04389,OCILAMFM_01316
Cluster_230,LBGCNHPF_01369,OEIEKCCN_00674,OCILAMFM_03026
Cluster_231,LBGCNHPF_01460,OEIEKCCN_00576,OCILAMFM_02942
Cluster_232,LBGCNHPF_02714,OEIEKCCN_04275,OCILAMFM_01433
Cluster_233,LBGCNHPF_01600,OEIEKCCN_02323,OCILAMFM_00218
Cluster_234,LBGCNHPF_03277,OEIEKCCN_03021,OCILAMFM_00673
Cluster_235,,OEIEKCCN_04205;OEIEKCCN_03648,OCILAMFM_04026
Cluster_236,LBGCNHPF_03246,OEIEKCCN_03052,OCILAMFM_00641
Cluster_237,LBGCNHPF_02348,OEIEKCCN_02044,OCILAMFM_04184
Cluster_238,LBGCNHPF_01800,OEIEKCCN_02467,OCILAMFM_00371
Cluster_239,LBGCNHPF_00002,OEIEKCCN_04192;OEIEKCCN_03635,OCILAMFM_04023
Cluster_240,LBGCNHPF_02426,OEIEKCCN_02119,OCILAMFM_04254
Cluster_241,LBGCNHPF_00170,OEIEKCCN_01443;OEIEKCCN_04008,OCILAMFM_03856
Cluster_242,LBGCNHPF_01146,OEIEKCCN_00895,OCILAMFM_03312
Cluster_243,LBGCNHPF_03004,OEIEKCCN_03302,OCILAMFM_02721
Cluster_244,LBGCNHPF_03957,OEIEKCCN_01506,OCILAMFM_02399
Cluster_245,LBGCNHPF_03402,OEIEKCCN_00019,OCILAMFM_01690
Cluster_246,LBGCNHPF_04077,OEIEKCCN_00223,OCILAMFM_01781
Cluster_247,LBGCNHPF_03600,OEIEKCCN_04421,OCILAMFM_01278
Cluster_248,LBGCNHPF_02370,OEIEKCCN_02063,
Cluster_249,LBGCNHPF_02431,OEIEKCCN_02124,OCILAMFM_04259
Cluster_250,LBGCNHPF_03956,OEIEKCCN_01507,OCILAMFM_02398
Cluster_251,LBGCNHPF_04106,OEIEKCCN_00320,OCILAMFM_04396
Cluster_252,LBGCNHPF_02633,OEIEKCCN_04364,OCILAMFM_01344
Cluster_253,LBGCNHPF_02309,OEIEKCCN_02868,OCILAMFM_00833
Cluster_254,LBGCNHPF_02184,,
Cluster_255,LBGCNHPF_00714,OEIEKCCN_01908,OCILAMFM_01946
Cluster_256,LBGCNHPF_04049,OEIEKCCN_00251,OCILAMFM_01752
Cluster_257,LBGCNHPF_03285,OEIEKCCN_03013,OCILAMFM_00681
Cluster_258,LBGCNHPF_01477,OEIEKCCN_03096,OCILAMFM_02929
Cluster_259,LBGCNHPF_02537,OEIEKCCN_02230,OCILAMFM_00109
