gene,protein,reaction,model,BiGG_gene
G_1_X_1_1_1_comp3,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp3
G_1_X_1_1_1_comp4,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp4
G_1_X_1_1_1_comp5,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp5
G_1_X_1_1_1_comp6,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp6
G_1_X_1_1_1_comp7,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp7
G_1_X_1_1_1_comp8,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp8
G_1_X_1_1_1_comp9,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp9
G_8_A_91_1_13_comp1,P_8_A_91_1_13_comp1,R_8_A_91_1_13,TCDB,TCDB.8_A_91_1_13_comp1
G_2_A_117_1_12_comp1,P_2_A_117_1_12_comp1,R_2_A_117_1_12,TCDB,TCDB.2_A_117_1_12_comp1
G_1_A_101_6_2_comp1,P_1_A_101_6_2_comp1,R_1_A_101_6_2,TCDB,TCDB.1_A_101_6_2_comp1
